,accuracy,AUROC,AUPRC,Precision,Positive_fraction
gcn,0.6814814814814815,0.5,0.31851851851851853,0.0,0.31851851851851853
transformer,0.6814814814814815,0.5247724974721941,0.3354005167958657,0.5,0.31851851851851853
tree,0.7703703703703704,0.6890798786653186,0.5025962839916329,0.7142857142857143,0.31851851851851853
