,RMSE,R^2,MAE,Spearman
gcn,46.02781094307008,-0.14151261444159924,25.534232244534728,0.09169047601513135
transformer,48.48265894557258,-0.26652257071936103,25.182021872403933,0.07237023444580754
tree,37.537622044408096,0.24076960142295933,25.264664802551273,0.5810034521063911
