,RMSE,R^2,MAE
gcn,18.049398183079784,-0.41895948675891637,15.977013143085623
transformer,79.5947179540164,-26.59389709858251,78.14164277719898
tree,12.3115066035353,0.33981302942097347,8.346387250760374
