,RMSE,R^2,MAE
gcn,1.2467764124960292,-0.10346785230177469,1.039118787300019
transformer,1.0278229855279315,0.25007266852402255,0.8234742858267079
tree,0.6865594434963844,0.6653900732666258,0.535241004629615
