,accuracy,AUROC,AUPRC,Precision,Positive_fraction
gcn,0.5102040816326531,0.5043321780858437,0.508297673908273,0.5083333333333333,0.5061224489795918
transformer,0.7224489795918367,0.7229072247400693,0.6702900684891953,0.7456140350877193,0.5061224489795918
tree,0.8040816326530612,0.8049520127965876,0.7647151800464556,0.8584905660377359,0.5061224489795918
