,RMSE,R^2,MAE,Spearman
gcn,22.741904181193494,-0.09842751082026191,8.37638971766719,-0.020439348554559866
transformer,22.67923415956537,-0.09238196371199492,8.34698829629686,0.09527834036528036
tree,23.08017659624993,-0.13134745888522348,12.864767574742988,0.3263193858132913
