,RMSE,R^2,MAE
gcn,1.4212985024030989,-3.28794997026138,1.2481265567092727
transformer,0.6964177056367553,-0.029481912759723006,0.5730830202503581
tree,0.37298271408247424,0.7047047083207583,0.2978982344621597
