,accuracy,AUROC,AUPRC,Precision,Positive_fraction
gcn,0.7185185185185186,0.5,0.2814814814814815,0.0,0.2814814814814815
transformer,0.7185185185185186,0.5,0.2814814814814815,0.0,0.2814814814814815
tree,0.7185185185185186,0.5,0.2814814814814815,0.0,0.2814814814814815
