,RMSE,R^2,MAE,Spearman
gcn,5.642503777649519,-0.08282179310117588,2.08284571586457,-0.03587931749151612
transformer,5.362072703639677,0.022135528448444908,3.1618385693140794,0.39558315487482854
tree,4.931351562830312,0.1729244145107437,2.1106396952324213,0.6334993735238953
