,accuracy,AUROC,AUPRC,Precision,Positive_fraction
gcn,0.8313023610053313,0.5,0.1686976389946687,0.0,0.1686976389946687
transformer,0.8598629093678599,0.6449250260322688,0.3324073549366068,0.6794258373205742,0.1686976389946687
tree,0.8960396039603961,0.7341559909375649,0.48869772156934393,0.821969696969697,0.1686976389946687
