,RMSE,R^2,MAE
gcn,2.541408130131392,-0.22664113379834983,1.9618480260775915
transformer,1.36057660569224,0.6484276655242951,1.0246955250691
tree,1.0138921141844686,0.8047674689225808,0.7307358593885275
