,accuracy,AUROC,AUPRC,Precision,Positive_fraction
gcn,0.7463054187192119,0.4863195747342089,0.8036595567182552,0.8032345013477089,0.8078817733990148
transformer,0.8793103448275862,0.7152126328955597,0.8808324514178403,0.8821917808219178,0.8078817733990148
tree,0.874384236453202,0.7903377110694183,0.9103401813414798,0.918429003021148,0.8078817733990148
