,accuracy,AUROC,AUPRC,Precision,Positive_fraction
gcn,0.7692307692307693,0.5,0.7692307692307693,0.7692307692307693,0.7692307692307693
transformer,0.7692307692307693,0.5,0.7692307692307693,0.7692307692307693,0.7692307692307693
tree,0.9658119658119658,0.9259259259259259,0.9574468085106383,0.9574468085106383,0.7692307692307693
