,accuracy,AUROC,AUPRC,Precision,Positive_fraction
gcn,0.49979732468585325,0.49466357927891264,0.4359957359961628,0.43286219081272087,0.43858937981353874
transformer,0.751925415484394,0.7512598677405794,0.6376022928348656,0.7054195804195804,0.43858937981353874
tree,0.8171868666396432,0.8159538760284804,0.716532307433589,0.7834681042228212,0.43858937981353874
