,accuracy,AUROC,AUPRC,Precision,Positive_fraction
gcn,0.45925925925925926,0.5327757685352623,0.606938584153774,0.8,0.5851851851851851
transformer,0.5851851851851851,0.5675858951175408,0.6209897254277306,0.6385542168674698,0.5851851851851851
tree,0.6444444444444445,0.6286166365280289,0.6584639542699631,0.6867469879518072,0.5851851851851851
