,RMSE,R^2,MAE,Spearman
gcn,53.4151459177225,-0.23805604004188963,33.7731193385497,-0.026494761410825258
transformer,59.0501990516506,-0.5130531946309425,36.036133442866955,-0.07584096794921497
tree,45.6180127836459,0.09700740233681004,34.39590873506334,0.41745441014137447
